Frog,1,5,2,0,13,6
Dark Frog,2,5,4,1,16,6
Baby Kat,3,5,7,2,20,5
Broccoli,4,6,11,5,26,5
Apple,4,7,16,8,36,6
Green Apple,5,8,22,10,49,5
Baby Rabbite,7,11,29,13,68,4
Aaro,7,16,37,17,92,4
Mushroom,8,22,46,22,124,5
Old Mushroom,10,32,57,27,164,6
Kat,13,46,68,34,213,8
Nom nom,13,64,81,41,272,6
Perock,14,88,94,50,342,5
Baby Rat,14,119,109,60,425,4
Fat Rat,15,158,125,72,520,5
Rat,15,206,142,85,630,6
Dark Rat,16,265,160,99,754,5
Baby Monkey,17,336,180,115,895,6
Passive Monkey,17,421,200,134,1053,4
Monkey,18,521,222,154,1229,6
Wild Monkey,20,639,245,176,1424,7
Expired Yogurt,21,777,269,200,1639,4
Boomeran,22,935,294,226,1875,6
Azten,22,1117,321,255,2133,4
Baby Shreyas,25,1325,348,286,2415,5
Shreyas,26,1561,377,319,2720,5
Old Shreyas,27,1827,408,355,3051,4
Ramen Noodles,27,2125,439,394,3407,6
Expired Ramen,30,2460,472,436,3791,6
Lying Josh,30,2832,506,480,4203,6
Trytu,31,3246,541,528,4644,6
Dancing Trytu,33,3703,578,578,5115,4
Torchin,33,4207,616,632,5617,6
Fierry Torchin,34,4761,655,689,6152,4
Water Droplet,34,5369,696,750,6719,4
Water Cup,35,6033,738,814,7321,5
Water Bottle,36,6757,781,881,7957,6
Fatenot,37,7544,826,952,8630,5
Naviabs,38,8399,872,1028,9340,5
Zonenout,40,9324,919,1107,10088,4
Adelan,41,10324,968,1190,10875,6
Jipzy,42,11403,1018,1277,11702,4
Yoroko,43,12564,1070,1368,12570,6
Pictoream,44,13811,1123,1464,13480,4
Sagswag,45,15149,1177,1564,14434,4
Selfme,45,16583,1233,1668,15431,6
Triktoman,46,18116,1291,1777,16474,4
Jark Dorse,47,19753,1349,1891,17562,5
Fishlakin,48,21499,1410,2010,18698,6
Ronmakad,49,23358,1471,2133,19882,5
Ploratair,50,25335,1535,2262,21115,6
Jafredo,51,27436,1599,2395,22398,6
Prohashli,52,29664,1666,2534,23732,5
Lorthor,53,32026,1734,2678,25119,4
Korupo,54,34526,1803,2828,26558,4
Gologemon,55,37170,1874,2983,28052,5
HG dog,56,39963,1946,3143,29600,6
Synerfan,57,42911,2020,3309,31205,4
Japaw,58,46019,2096,3482,32867,5
Josinla,58,49293,2173,3660,34587,5
Dano,59,52739,2251,3844,36366,5
Bracker,60,56363,2332,4034,38205,6
Jarzone,61,60170,2414,4230,40105,6
Sargan,62,64167,2497,4433,42067,4
Carrot,63,68360,2582,4642,44093,4
Angry Carrot,64,72755,2669,4857,46182,5
Zachalata,65,77359,2758,5079,48337,5
La Joshua,66,82179,2848,5308,50557,6
Koalalok,67,87220,2939,5544,52845,5
Tream,68,92490,3033,5786,55201,5
Kerish,69,97995,3128,6036,57626,6
Jaimo,70,103743,3225,6292,60121,4
Marmon,71,109740,3323,6556,62687,6
Ujum,72,115993,3424,6827,65326,4
Vallox,73,122510,3526,7106,68037,5
Ninja Pants,74,129298,3630,7392,70822,6
Mic Man,75,136364,3735,7685,73683,4
DJ Hornel,76,143716,3842,7986,76620,4
Lourn,77,151361,3951,8296,79634,4
Pizza man,78,159308,4062,8613,82725,6
Heejan,79,167564,4175,8938,85896,4
Pizza,80,176136,4289,9271,89148,6
Expired Pizza,81,185034,4405,9612,92480,4
Bailey,82,194264,4523,9962,95894,5
Jamlair,83,203836,4643,10320,99391,4
Nom Berry,84,213758,4765,10686,102973,6
Pras,85,224037,4888,11061,106640,5
Freyos,86,234682,5014,11445,110392,6
Interions,87,245703,5141,11838,114232,6
Fracturions,88,257108,5270,12239,118160,5
Decinimals,89,268905,5401,12650,122177,4
Liner Equatics,90,281104,5534,13069,126284,4
Quadratone elephants,91,293713,5669,13498,130482,6
Trigeminan,92,306742,5806,13936,134773,5
Rectangle,93,320199,5945,14384,139156,6
Square,94,334095,6085,14841,143633,5
Sinupodial,95,348438,6228,15307,148206,6
Conupodial,96,363239,6372,15783,152875,4
Tangentalio,97,378506,6519,16270,157641,4
Circlomon,98,394249,6668,16766,162504,6
Infinitone,99,410479,6818,17272,167467,4
Romanoff,100,427204,6971,17788,172531,8
